sample_name	birthplace	orig_seqrunid	date_startcollection	cohort	orig_tube	mouse_line	site_line	dob	host_age	host_age_units	breedpair	parity	cage	collection_sequence	collection_date	extraction_date	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD2	VS_clearD3	VS_clearD4	VS_clearD5	VS_clearD6	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	plate_position	CST	CST_categorical
12502.BLANK2.9H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK2.9H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	39_	none	none
12502.BLANK3.10B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10D.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10D.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.10H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.10H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11D.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11D.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.11H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.11H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12D.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12D.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.12H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.12H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.1H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.1H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.2H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.2H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.3H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.3H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.4H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.4H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.5H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.5H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6C	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6C										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6D	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6D										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6E	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6E										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6E.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6E.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6F	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6F										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6F.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6F.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6G	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6G										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6G.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6G.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6H	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6H										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.6H.Dec2019	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.6H.Dec2019										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
12502.BLANK3.7B	not applicable			pre2020					not applicable	weeks			not applicable						blank					BLANK3.7B										not applicable												Clear		Impact of human milk oligosaccharides on mouse vaginal microbiota	UCSDMI			not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3_	none	none
